hgnc_symbol,ensembl_gene_id,entrezgene_id
MT-TF,ENSG00000210049,
MT-RNR1,ENSG00000211459,
MT-TV,ENSG00000210077,
MT-RNR2,ENSG00000210082,
MT-TL1,ENSG00000209082,
MT-ND1,ENSG00000198888,4535
MT-TI,ENSG00000210100,
MT-TQ,ENSG00000210107,
MT-TM,ENSG00000210112,
MT-ND2,ENSG00000198763,4536
MT-TW,ENSG00000210117,
MT-TA,ENSG00000210127,
MT-TN,ENSG00000210135,
MT-TC,ENSG00000210140,
MT-TY,ENSG00000210144,
MT-CO1,ENSG00000198804,4512
MT-TS1,ENSG00000210151,113219467
MT-TD,ENSG00000210154,
MT-CO2,ENSG00000198712,4513
MT-TK,ENSG00000210156,
MT-ATP8,ENSG00000228253,4509
MT-ATP6,ENSG00000198899,4508
MT-CO3,ENSG00000198938,4514
MT-TG,ENSG00000210164,
MT-ND3,ENSG00000198840,4537
MT-TR,ENSG00000210174,
MT-ND4L,ENSG00000212907,4539
MT-ND4,ENSG00000198886,4538
MT-TH,ENSG00000210176,
MT-TS2,ENSG00000210184,
MT-TL2,ENSG00000210191,
MT-ND5,ENSG00000198786,4540
MT-ND6,ENSG00000198695,4541
MT-TE,ENSG00000210194,
MT-CYB,ENSG00000198727,4519
MT-TT,ENSG00000210195,
MT-TP,ENSG00000210196,
,ENSG00000278457,
,ENSG00000275151,
AC240274.1,ENSG00000271254,102724250
PCMTD2,ENSG00000280663,55251
INTS3,ENSG00000262826,65123
BX004987.1,ENSG00000278704,
KIR2DL3,ENSG00000273947,3804
,ENSG00000278294,124907156
,ENSG00000278294,124907485
,ENSG00000278294,124908250
,ENSG00000279969,
KIR2DL4,ENSG00000276779,3805
KIR2DL4,ENSG00000276779,124900568
LINC02109,ENSG00000274882,
KIR3DL2,ENSG00000273735,3812
KIR3DL1,ENSG00000275717,3811
KIR3DL1,ENSG00000276379,3811
KIR3DL3,ENSG00000276433,115653
,ENSG00000277995,
LILRP2,ENSG00000275442,79166
KIR2DL1,ENSG00000274692,3802
KIR2DL3,ENSG00000277484,3804
,ENSG00000276970,
KIR3DL3,ENSG00000275062,115653
LILRP1,ENSG00000277921,
KIR2DL3,ENSG00000277554,3804
KIR3DL1,ENSG00000277272,3811
OPRL1,ENSG00000277044,4987
KIR2DL4,ENSG00000278074,3805
KIR2DL4,ENSG00000278074,124900568
NPBWR2,ENSG00000277339,2832
KIR2DS4,ENSG00000274807,3809
,ENSG00000280695,
KIR2DS4,ENSG00000274714,3809
MYT1,ENSG00000276876,4661
NCR1,ENSG00000277334,9437
KIR2DS4,ENSG00000276885,3809
KIR2DL4,ENSG00000273575,3805
KIR2DL4,ENSG00000273575,124900568
KIR3DL1,ENSG00000275786,3811
KIR3DP1,ENSG00000276518,
KIR2DL4,ENSG00000275237,3805
KIR2DL4,ENSG00000275237,124900568
KIR2DS2,ENSG00000278152,100132285
KIR2DS2,ENSG00000278152,124900573
KIR2DS2,ENSG00000278152,124900575
KIR3DL2,ENSG00000277982,3812
LILRP2,ENSG00000277267,79166
KIR2DL1,ENSG00000273510,3802
KIR2DS4,ENSG00000274324,3809
KIR3DL1,ENSG00000276423,3811
KIR3DS1,ENSG00000276534,3813
,ENSG00000274130,
KIR2DL1,ENSG00000276820,3802
KIR2DL2,ENSG00000278731,3803
KIR2DS3,ENSG00000278306,3808
KIR3DL3,ENSG00000277620,115653
,ENSG00000280538,
,ENSG00000281806,
KIR2DL4,ENSG00000275732,3805
KIR2DL4,ENSG00000275732,124900568
,ENSG00000281362,339822
KIR3DL1,ENSG00000274948,3811
FCAR,ENSG00000276858,2204
KIR3DL3,ENSG00000276328,115653
KIR3DL3,ENSG00000274696,115653
KIR2DL2,ENSG00000275407,3803
KIR2DL1,ENSG00000278805,3802
KIR2DS4,ENSG00000277345,3809
,ENSG00000275422,
KIR2DL2,ENSG00000275914,3803
KIR3DL2,ENSG00000276424,3812
KIR2DL1,ENSG00000277616,3802
,ENSG00000277185,
KIR2DS4,ENSG00000273526,3809
KIR2DL1,ENSG00000278207,3802
KIR3DL3,ENSG00000275433,115653
KIR2DS5,ENSG00000277650,3810
FCAR,ENSG00000273738,2204
KIR2DL2,ENSG00000277725,3803
KIR2DL2,ENSG00000273661,3803
KIR2DL4,ENSG00000276044,3805
KIR2DL4,ENSG00000276044,124900568
LILRP1,ENSG00000274271,
KIR3DL2,ENSG00000274722,3812
,ENSG00000275018,
KIR2DL5A,ENSG00000274676,57292
KIR2DL5A,ENSG00000274676,124900569
KIR3DP1,ENSG00000274163,
LILRP2,ENSG00000274842,79166
KIR2DS4,ENSG00000274406,3809
LILRP1,ENSG00000273670,
KIR2DP1,ENSG00000274476,
KIR3DL1,ENSG00000276501,3811
KIR2DL4,ENSG00000277355,3805
KIR2DL4,ENSG00000277355,124900568
KIR2DL1,ENSG00000275276,3802
,ENSG00000277456,
KIR2DL4,ENSG00000278606,3805
KIR2DL4,ENSG00000278606,124900568
KIR2DL1,ENSG00000274782,3802
LILRP1,ENSG00000277070,
KIR2DL4,ENSG00000275848,3805
KIR2DL4,ENSG00000275848,124900568
KIR2DS5,ENSG00000276676,3810
KIR2DP1,ENSG00000277376,
KIR2DS2,ENSG00000276258,100132285
KIR2DS2,ENSG00000276258,124900575
DNAH10,ENSG00000281935,196385
KIR2DL5B,ENSG00000275946,553128
KIR2DL5B,ENSG00000275946,124900574
LILRP2,ENSG00000274861,79166
KIR2DL4,ENSG00000274193,3805
KIR2DL4,ENSG00000274193,124900568
KIR2DL3,ENSG00000275008,3804
KIR2DL4,ENSG00000274189,3805
KIR2DL4,ENSG00000274189,124900568
KIR2DS3,ENSG00000275599,3808
LILRP1,ENSG00000274339,
KIR3DL1,ENSG00000273775,3811
KIR2DP1,ENSG00000274851,
KIR3DP1,ENSG00000273688,
KIR2DL3,ENSG00000274830,3804
LILRP1,ENSG00000277570,
KIR3DS1,ENSG00000274283,3813
,ENSG00000276306,
KIR2DL4,ENSG00000274955,3805
KIR2DL4,ENSG00000274955,124900568
KIR2DS4,ENSG00000277078,3809
KIR3DL2,ENSG00000276004,3812
KIR3DL1,ENSG00000275659,3811
KIR3DL3,ENSG00000276084,115653
KIR2DL3,ENSG00000276459,3804
KIR3DL1,ENSG00000276329,3811
KIR2DL1,ENSG00000278248,3802
,ENSG00000274009,
KIR2DP1,ENSG00000274942,
KIR3DL1,ENSG00000273518,3811
,ENSG00000278345,
KIR2DL1,ENSG00000275080,3802
KIR3DP1,ENSG00000276035,
LILRP1,ENSG00000276001,
KIR2DL4,ENSG00000277964,3805
KIR2DL4,ENSG00000277964,124900568
FCAR,ENSG00000276985,2204
LILRP1,ENSG00000275112,
KIR2DS2,ENSG00000274518,100132285
KIR2DS2,ENSG00000274518,124900575
KIR2DL5B,ENSG00000275436,553128
,ENSG00000276013,
KIR3DL3,ENSG00000274480,115653
KIR2DL4,ENSG00000274945,3805
KIR2DL4,ENSG00000274945,124900568
KIR2DS4,ENSG00000275351,3809
CCDC92,ENSG00000275035,80212
KIR2DL1,ENSG00000277833,3802
KIR3DL2,ENSG00000276357,3812
KIR3DL3,ENSG00000276806,115653
LILRP2,ENSG00000275289,79166
,ENSG00000262025,
,ENSG00000263275,
LILRP2,ENSG00000274826,79166
,ENSG00000262299,
LILRP1,ENSG00000273881,
,ENSG00000277940,
KIR2DL3,ENSG00000278369,3804
GEMIN2P1,ENSG00000262767,
GATAD2B,ENSG00000261992,57459
KIR2DL4,ENSG00000275699,3805
KIR2DL4,ENSG00000275699,124900568
KIR3DL1,ENSG00000274920,3811
KIR2DL3,ENSG00000273887,3804
KIR2DS2,ENSG00000275452,100132285
KIR2DS2,ENSG00000275452,124900575
NCR1,ENSG00000276450,9437
FCAR,ENSG00000275970,2204
KIR2DL5B,ENSG00000274707,553128
