uniprot_gn_symbol,ensembl_gene_id,entrezgene_id
,ENSMUSG00000064336,
,ENSMUSG00000064337,
,ENSMUSG00000064338,
,ENSMUSG00000064339,
,ENSMUSG00000064340,
mt-Nd1,ENSMUSG00000064341,17716
Mtnd1,ENSMUSG00000064341,17716
,ENSMUSG00000064342,
,ENSMUSG00000064343,
,ENSMUSG00000064344,
mt-Nd2,ENSMUSG00000064345,17717
,ENSMUSG00000064346,
,ENSMUSG00000064347,
,ENSMUSG00000064348,
,ENSMUSG00000064349,
,ENSMUSG00000064350,
mt-Co1,ENSMUSG00000064351,17708
Mtco1,ENSMUSG00000064351,17708
,ENSMUSG00000064352,
,ENSMUSG00000064353,
mt-Co2,ENSMUSG00000064354,17709
Mtco2,ENSMUSG00000064354,17709
,ENSMUSG00000064355,
mt-Atp8,ENSMUSG00000064356,17706
Mtatp8,ENSMUSG00000064356,17706
ATP6,ENSMUSG00000064357,17705
Mtatp6,ENSMUSG00000064357,17705
mt-Co3,ENSMUSG00000064358,17710
,ENSMUSG00000064359,
mt-Nd3,ENSMUSG00000064360,17718
,ENSMUSG00000064361,
mt-Nd4l,ENSMUSG00000065947,17720
Mtnd4l,ENSMUSG00000065947,17720
mt-Nd4,ENSMUSG00000064363,17719
Mtnd4,ENSMUSG00000064363,17719
,ENSMUSG00000064364,
,ENSMUSG00000064365,
,ENSMUSG00000064366,
mt-Nd5,ENSMUSG00000064367,17721
Mtnd5,ENSMUSG00000064367,17721
mt-Nd6,ENSMUSG00000064368,17722
Mtnd6,ENSMUSG00000064368,17722
,ENSMUSG00000064369,
mt-Cytb,ENSMUSG00000064370,17711
Mt-Cyb,ENSMUSG00000064370,17711
,ENSMUSG00000064371,
,ENSMUSG00000064372,
,ENSMUSG00002075400,
,ENSMUSG00002074899,
,ENSMUSG00002074970,
,ENSMUSG00002076890,
CAAA01147332.1,ENSMUSG00000095742,
AC234645.1,ENSMUSG00000095019,
AC149090.1,ENSMUSG00000095041,
AC164084.2,ENSMUSG00000095666,100862115
AC165294.1,ENSMUSG00000094303,108168681
AC168977.2,ENSMUSG00000094915,671917
AC123873.3,ENSMUSG00000094836,100861655
Vmn1r186,ENSMUSG00000096776,100039479
AC125178.1,ENSMUSG00000094722,100862245
AC133103.4,ENSMUSG00000095250,118568473
A530040E14Rik,ENSMUSG00000079800,
,ENSMUSG00002075729,
AC102264.1,ENSMUSG00000096244,100039499
AC168977.1,ENSMUSG00000079808,102638047
AC133103.6,ENSMUSG00000095787,
AC125149.5,ENSMUSG00000095092,
AC165294.2,ENSMUSG00000096236,100862192
AC164084.3,ENSMUSG00000096680,102634529
AC133103.7,ENSMUSG00000096100,
AC123873.1,ENSMUSG00000094383,108168683
AC123873.1,ENSMUSG00000094383,108168684
AC123873.1,ENSMUSG00000094383,108169098
AC123873.1,ENSMUSG00000094383,108169101
AC125149.1,ENSMUSG00000079192,
AC125178.3,ENSMUSG00000095728,
AC165294.3,ENSMUSG00000096756,100862202
AC164084.1,ENSMUSG00000095505,
,ENSMUSG00000094054,100503923
AC125149.2,ENSMUSG00000079794,
AC133103.5,ENSMUSG00000095672,
AC125178.2,ENSMUSG00000095076,
AC133103.1,ENSMUSG00000079190,100041057
AC125149.4,ENSMUSG00000094799,105242404
AC123873.2,ENSMUSG00000094474,100041712
AC133103.3,ENSMUSG00000094514,102636558
AC126035.1,ENSMUSG00000094791,
Gm16367,ENSMUSG00000096550,545762
AC163611.1,ENSMUSG00000094172,620551
Pramel34,ENSMUSG00000094887,100041806
AC140365.1,ENSMUSG00000091585,108168685
AC124606.2,ENSMUSG00000095763,100039010
AC124606.1,ENSMUSG00000095523,100038995
AC133095.2,ENSMUSG00000095475,545763
AC133095.1,ENSMUSG00000094855,620639
AC140325.2,ENSMUSG00000094741,100503733
AC132444.1,ENSMUSG00000079222,
AC140325.1,ENSMUSG00000074720,
Gm3286,ENSMUSG00000094337,665290
AC132444.3,ENSMUSG00000094874,102633783
AC132444.5,ENSMUSG00000095500,
AC132444.4,ENSMUSG00000095450,
AC140325.3,ENSMUSG00000095570,624931
AC132444.2,ENSMUSG00000094728,
Csprs,ENSMUSG00000062783,114564
AC140325.4,ENSMUSG00000096728,665755
AC132444.6,ENSMUSG00000096808,
,ENSMUSG00000100384,
,ENSMUSG00000100216,
,ENSMUSG00000099641,
,ENSMUSG00000100271,108168549
Gm28488,ENSMUSG00000099695,
Gm20816,ENSMUSG00000095634,100039810
Gm20816,ENSMUSG00000095634,100861743
Gm20816,ENSMUSG00000095634,100862360
Gm20816,ENSMUSG00000095634,108168596
Gm28491,ENSMUSG00000100399,
Gm29447,ENSMUSG00000101393,
Gm29446,ENSMUSG00000100885,
,ENSMUSG00000101120,
,ENSMUSG00000101216,
Gm21497,ENSMUSG00000100032,
Gm28490,ENSMUSG00000094789,
Gm28633,ENSMUSG00000101080,
Gm21562,ENSMUSG00000094444,
,ENSMUSG00000100308,
Gm28298,ENSMUSG00000101423,
Gm21572,ENSMUSG00000095626,
Gm28297,ENSMUSG00000101761,
,ENSMUSG00000099493,
Gm21723,ENSMUSG00000096777,
Gm28462,ENSMUSG00000102119,
,ENSMUSG00000101147,108168663
,ENSMUSG00000101143,108168603
Gm28296,ENSMUSG00000100739,
Gm21821,ENSMUSG00000095345,
Gm29409,ENSMUSG00000102005,
Gm28632,ENSMUSG00000101491,
Gm28295,ENSMUSG00000100709,
Gm21842,ENSMUSG00000095968,
,ENSMUSG00000100624,
Gm28170,ENSMUSG00000101779,
,ENSMUSG00000094529,
Gm33815,ENSMUSG00000102388,
,ENSMUSG00000102131,108168608
Gm28764,ENSMUSG00000101745,
,ENSMUSG00000094699,
,ENSMUSG00000100659,
,ENSMUSG00000101254,108168604
Gm28762,ENSMUSG00000100957,
,ENSMUSG00000100976,
Gm28763,ENSMUSG00000099756,
,ENSMUSG00000100489,
,ENSMUSG00000101239,
Gm28824,ENSMUSG00000100971,
Gm28081,ENSMUSG00000099555,
,ENSMUSG00000101369,
,ENSMUSG00000101096,108168600
Gm28891,ENSMUSG00000095263,
Gm20792,ENSMUSG00000095263,
